b'id',b'key',b'value',b'type'
b'828670432',b'city',b'City of Ottawa',b'addr'
b'828670432',b'street',b'Anthony Avenue',b'addr'
b'828670432',b'housenumber',b'1998',b'addr'
b'828670871',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828670871',b'city',b'Ottawa',b'addr'
b'828670871',b'street',b'Churchill Avenue North',b'addr'
b'828670871',b'housenumber',b'322',b'addr'
b'828671455',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828671455',b'city',b'Ottawa',b'addr'
b'828671455',b'street',b'Keenan Avenue',b'addr'
b'828671455',b'housenumber',b'558',b'addr'
b'828672224',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828672224',b'city',b'City of Ottawa',b'addr'
b'828672224',b'street',b'Sherbourne Road',b'addr'
b'828672224',b'housenumber',b'520',b'addr'
b'828672724',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828672724',b'city',b'Ottawa',b'addr'
b'828672724',b'street',b'Crossfield Avenue',b'addr'
b'828672724',b'housenumber',b'566',b'addr'
b'828674873',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828674873',b'street',b'Glenridge Road',b'addr'
b'828674873',b'housenumber',b'29',b'addr'
b'828675217',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828675217',b'city',b'City of Ottawa',b'addr'
b'828675217',b'street',b'Morley Boulevard',b'addr'
b'828675217',b'housenumber',b'1458',b'addr'
b'828675423',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828675423',b'city',b'City of Ottawa',b'addr'
b'828675423',b'street',b'Ashwood Crescent',b'addr'
b'828675423',b'housenumber',b'7',b'addr'
b'828675682',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828675682',b'city',b'Ottawa',b'addr'
b'828675682',b'street',b'Tillbury Avenue',b'addr'
b'828675682',b'housenumber',b'577',b'addr'
b'828676265',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828676265',b'city',b'City of Ottawa',b'addr'
b'828676265',b'street',b'Barlyn Avenue',b'addr'
b'828676265',b'housenumber',b'30',b'addr'
b'828676556',b'source',b'CanVec 6.0 - NRCan',b'regular'
b'828676556',b'city',b'City of Ottawa',b'addr'
b'828676556',b'street',b'Gilbey Drive',b'addr'
b'828676556',b'housenumber',b'8',b'addr'
b'828677048',b'source',b'NRCan-CanVec-7.0',b'regular'
b'828677048',b'city',b'Ottawa',b'addr'
b'828677048',b'street',b'Highcroft Avenue',b'addr'
