b'id',b'key',b'value',b'type'
b'36850636',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'36850636',b'uuid',b'16a198c9dde64f699e0fda66bd99f9be',b'geobase'
b'36850636',b'rbuid',b'3410727',b'statscan'
b'36850636',b'datasetName',b'NRN:Ontario',b'geobase'
b'36850636',b'acquisitionTechnique',b'GPS',b'geobase'
b'37661790',b'source',b'yahoo',b'regular'
b'37661790',b'building',b'yes',b'regular'
b'38798487',b'source',b'GeobaseNHN_Import_2009',b'regular'
b'38798487',b'waterway',b'stream',b'regular'
b'38798487',b'created_by',b'geobaseNHN2osm',b'regular'
b'38798487',b'attribution',b'Natural Resources Canada',b'regular'
b'38798487',b'meters',b'26',b'accuracy'
b'38798487',b'VALDATE',b'1989',b'GeoBaseNHN'
b'38798487',b'DatasetName',b'02LH000',b'GeoBaseNHN'
b'38817993',b'source',b'GeobaseNHN_Import_2009',b'regular'
b'38817993',b'waterway',b'stream',b'regular'
b'38817993',b'attribution',b'Natural Resources Canada',b'regular'
b'38817993',b'meters',b'26',b'accuracy'
b'38817993',b'VALDATE',b'1989',b'GeoBaseNHN'
b'38817993',b'DatasetName',b'02LH000',b'GeoBaseNHN'
b'38832862',b'source',b'GeobaseNHN_Import_2009',b'regular'
b'38832862',b'waterway',b'stream',b'regular'
b'38832862',b'attribution',b'Natural Resources Canada',b'regular'
b'38832862',b'meters',b'26',b'accuracy'
b'38832862',b'VALDATE',b'1995',b'GeoBaseNHN'
b'38832862',b'DatasetName',b'02LH000',b'GeoBaseNHN'
b'38842179',b'source',b'GeobaseNHN_Import_2009',b'regular'
b'38842179',b'natural',b'water',b'regular'
b'38842179',b'attribution',b'Natural Resources Canada',b'regular'
b'38842179',b'meters',b'26',b'accuracy'
b'38842179',b'VALDATE',b'1989',b'GeoBaseNHN'
b'38842179',b'DatasetName',b'02LH000',b'GeoBaseNHN'
b'38848428',b'source',b'GeobaseNHN_Import_2009',b'regular'
b'38848428',b'natural',b'water',b'regular'
b'38848428',b'attribution',b'Natural Resources Canada',b'regular'
b'38848428',b'meters',b'26',b'accuracy'
b'38848428',b'VALDATE',b'1989',b'GeoBaseNHN'
b'38848428',b'DatasetName',b'02LH000',b'GeoBaseNHN'
b'39056668',b'bicycle',b'no',b'regular'
b'39056668',b'highway',b'footway',b'regular'
b'39056668',b'surface',b'asphalt',b'regular'
b'39438460',b'oneway',b'yes',b'regular'
b'39438460',b'highway',b'service',b'regular'
b'39438460',b'type',b'nordic',b'piste'
b'39438460',b'grooming',b'classic+skating',b'piste'
b'39438460',b'difficulty',b'easy',b'piste'
b'39451347',b'layer',b'1',b'regular'
b'39451347',b'bridge',b'yes',b'regular'
b'39451347',b'railway',b'disused',b'regular'
b'39513778',b'name',b'Rue des Galeries',b'regular'
b'39513778',b'lanes',b'2',b'regular'
b'39513778',b'highway',b'service',b'regular'
b'39513778',b'surface',b'asphalt',b'regular'
b'39662047',b'highway',b'path',b'regular'
b'39662047',b'name',b'Sentier des Voyageurs Pathway',b'regular'
b'39662047',b'surface',b'asphalt',b'regular'
b'39662047',b'width',b'2',b'regular'
b'39802582',b'lcn',b'yes',b'regular'
b'39802582',b'lit',b'yes',b'regular'
b'39802582',b'name',b'Rue Saint-R\xc3\xa9dempteur',b'regular'
b'39802582',b'lanes',b'2',b'regular'
b'39802582',b'oneway',b'yes',b'regular'
b'39802582',b'highway',b'secondary',b'regular'
b'39802582',b'surface',b'asphalt',b'regular'
b'39802582',b'cycleway',b'lane',b'regular'
b'39907391',b'landuse',b'residential',b'regular'
b'40053579',b'name',b'Queen Street South',b'regular'
b'40053579',b'is_in',"b'Town of Carleton Place,Ontario'",b'regular'
b'40053579',b'lanes',b'2',b'regular'
b'40053579',b'source',b'Geobase_Import_2009',b'regular'
b'40053579',b'highway',b'residential',b'regular'
b'40053579',b'fr',b'rue Queen Sud',b'name'
b'40053579',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40053579',b'acquisitionTechnique',b'GPS',b'geobase'
b'40054874',b'name',b'Spring Street',b'regular'
b'40054874',b'is_in',"b'Town of Mississippi Mills,Ontario'",b'regular'
b'40054874',b'lanes',b'2',b'regular'
b'40054874',b'source',b'Geobase_Import_2009',b'regular'
b'40054874',b'highway',b'residential',b'regular'
b'40054874',b'fr',b'rue Spring',b'name'
b'40054874',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40054874',b'uuid',b'aadc834fd6b8417694876c449f082e33',b'geobase'
b'40054874',b'datasetName',b'NRN:Ontario',b'geobase'
b'40054874',b'acquisitionTechnique',b'GPS',b'geobase'
b'40077307',b'name',b'Upper Perth Road',b'regular'
b'40077307',b'is_in',"b'Township of Lanark Highlands,Ontario'",b'regular'
b'40077307',b'lanes',b'2',b'regular'
b'40077307',b'source',b'Geobase_Import_2009',b'regular'
b'40077307',b'highway',b'residential',b'regular'
b'40077307',b'surface',b'unpaved',b'regular'
b'40077307',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40077307',b'uuid',b'd55c9a05f67d444eb3d1c1ef1be0a4ec',b'geobase'
b'40077307',b'datasetName',b'NRN:Ontario',b'geobase'
b'40077307',b'acquisitionTechnique',b'GPS',b'geobase'
b'40079100',b'name',b'Sunset Drive',b'regular'
b'40079100',b'is_in',"b'Ontario,Canada; Township of Beckwith,Ontario'",b'regular'
b'40079100',b'lanes',b'2',b'regular'
b'40079100',b'source',b'Geobase_Import_2009',b'regular'
b'40079100',b'highway',b'residential',b'regular'
b'40079100',b'fr',b'chemin Bluebird Hill; promenade Sunset; promenade Sunset; chemin Bluebird Hill; promenade Sunset',b'name'
b'40079100',b'sidewalk',b'no',b'regular'
b'40079100',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40079100',b'rbuid',b'1945959',b'statscan'
b'40079100',b'acquisitionTechnique',b'GPS',b'geobase'
b'40080888',b'name',b'Morphy Street',b'regular'
b'40080888',b'is_in',"b'Town of Carleton Place,Ontario'",b'regular'
b'40080888',b'lanes',b'2',b'regular'
b'40080888',b'source',b'Geobase_Import_2009',b'regular'
b'40080888',b'highway',b'residential',b'regular'
b'40080888',b'fr',b'rue Morphy',b'name'
b'40080888',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40080888',b'uuid',b'790f338011124f5aa106e2a90bd0f244',b'geobase'
b'40080888',b'datasetName',b'NRN:Ontario',b'geobase'
b'40080888',b'acquisitionTechnique',b'GPS',b'geobase'
b'40082771',b'name',b'Park Avenue',b'regular'
b'40082771',b'is_in',"b'Town of Carleton Place,Ontario'",b'regular'
b'40082771',b'lanes',b'2',b'regular'
b'40082771',b'source',b'Geobase_Import_2009',b'regular'
b'40082771',b'highway',b'residential',b'regular'
b'40082771',b'fr',b'avenue Park',b'name'
b'40082771',b'attribution',b'GeoBase\xc2\xae',b'regular'
b'40082771',b'acquisitionTechnique',b'GPS',b'geobase'
b'40085521',b'name',b'2nd Avenue',b'regular'
b'40085521',b'is_in',"b'Town of Arnprior,Ontario'",b'regular'
b'40085521',b'lanes',b'2',b'regular'
